NUMBER, EXPERIMENT
1,10DTTX_17
2,5DTTX_8
3,10DTTX_13
4,CTRL_1
5,CTRL_18
6,5DTTX_4
7,10DTTX_14
8,10DTTX_16
9,CTRL_7
10,5DTTX_12
11,5DTTX_2
12,CTRL_3
13,10DTTX_11
14,CTRL_12
15,5DTTX_15
16,CTRL_6
17,10DTTX_1
18,10DTTX_4
19,CTRL_15
20,10DTTX_9
21,5DTTX_16
22,5DTTX_19
23,10DTTX_3
24,CTRL_19
25,10DTTX_15
26,5DTTX_14
27,10DTTX_18
28,CTRL_11
29,CTRL_14
30,5DTTX_1
31,5DTTX_17
32,CTRL_2
33,5DTTX_3
34,10DTTX_12
35,CTRL13
36,5DTTX_11
37,CTRL_8
38,10DTTX_19
39,CTRL_17
40,5DTTX_5
41,10DTTX_8
42,5DTTX_13
43,CTRL_16
44,10DTTX_2
45,5DTTX_18
